Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
93553,Deprivation score (IMD 2019),,,E92000001,England,England,Persons,All ages,,,2019,21.7220870988933,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,E92000001,England,England,Persons,All ages,,,2019,21.7220870988933,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81001,The Densham Surgery,GP,Persons,All ages,,,2019,32.3609392614188,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81002,Queens Park Medical Centre,GP,Persons,All ages,,,2019,31.9219576370791,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81004,Bluebell Medical Centre,GP,Persons,All ages,,,2019,28.0240260610573,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81005,Springwood Surgery,GP,Persons,All ages,,,2019,15.398206930816,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81006,Tennant Street Medical Practice,GP,Persons,All ages,,,2019,35.6123870901918,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81007,Bankhouse Surgery,GP,Persons,All ages,,,2019,34.4445323985979,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81009,Village Medical Centre,GP,Persons,All ages,,,2019,35.8658491784038,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81011,Chadwick Practice,GP,Persons,All ages,,,2019,36.3089020068855,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81012,Westbourne Medical Centre,GP,Persons,All ages,,,2019,52.6470209196763,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81013,Brotton Surgery,GP,Persons,All ages,,,2019,29.722752783285,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81014,Queenstree Practice,GP,Persons,All ages,,,2019,23.2413015956055,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81016,Park Surgery,GP,Persons,All ages,,,2019,44.489167042668,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81017,Woodbridge Practice,GP,Persons,All ages,,,2019,18.9506285295963,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81018,Bentley Medical Practice,GP,Persons,All ages,,,2019,31.6521769322472,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81019,Crossfell Health Centre,GP,Persons,All ages,,,2019,51.0359636499307,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81020,Martonside Medical Centre,GP,Persons,All ages,,,2019,32.590788101771,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81021,Normanby Medical Centre,GP,Persons,All ages,,,2019,36.747031515241,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81022,Hillside Practice,GP,Persons,All ages,,,2019,28.1046550919171,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81023,The Endeavour Practice,GP,Persons,All ages,,,2019,46.7262571575961,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81025,The Dovecot Surgery,GP,Persons,All ages,,,2019,34.5468043424624,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81026,The Linthorpe Surgery,GP,Persons,All ages,,,2019,43.0419056167061,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81027,Yarm Medical Practice,GP,Persons,All ages,,,2019,8.49827651464491,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81029,Prospect Surgery,GP,Persons,All ages,,,2019,48.7180673703819,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81030,Borough Road & Nunthorpe Medical Group,GP,Persons,All ages,,,2019,29.2136742505545,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81031,Havelock Grange Practice,GP,Persons,All ages,,,2019,37.3702897101336,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81032,The Garth,GP,Persons,All ages,,,2019,18.8740962404633,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81034,Thornaby & Barwick Medical Group,GP,Persons,All ages,,,2019,21.2040133726201,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81035,Newlands Medical Centre,GP,Persons,All ages,,,2019,45.5057360544218,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81036,Norton Medical Centre,GP,Persons,All ages,,,2019,28.1489688280718,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81037,The Erimus Practice,GP,Persons,All ages,,,2019,47.2018875419892,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81038,Hirsel Medical Centre,GP,Persons,All ages,,,2019,48.8496833423472,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81039,Eaglescliffe Medical Practice,GP,Persons,All ages,,,2019,9.81094919912804,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81040,Marsh House Medical Practice,GP,Persons,All ages,,,2019,24.157726247798,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81041,Hart Medical Practice,GP,Persons,All ages,,,2019,35.67246825054,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81042,South Grange Medical Group Practice,GP,Persons,All ages,,,2019,44.4887079025634,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81043,The Manor House Surgery,GP,Persons,All ages,,,2019,34.8856724319271,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81044,Mckenzie House Surgery,GP,Persons,All ages,,,2019,34.8838701367822,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81045,The Coatham Road Surgery,GP,Persons,All ages,,,2019,30.3384961979815,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81046,Woodlands Family Medical Centre,GP,Persons,All ages,,,2019,31.4698749498355,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81048,Zetland Medical Practice,GP,Persons,All ages,,,2019,17.1087073204043,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81049,Kings Medical Centre,GP,Persons,All ages,,,2019,51.9002698838248,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81051,Cambridge Medical Group,GP,Persons,All ages,,,2019,28.418910001495,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81052,The Green House Surgery,GP,Persons,All ages,,,2019,29.4223941880342,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81053,Woodside Surgery,GP,Persons,All ages,,,2019,36.8823205941513,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81054,The Saltscar Surgery,GP,Persons,All ages,,,2019,30.2660548616214,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81056,Melrose Surgery,GP,Persons,All ages,,,2019,24.1716920991479,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81057,Kingsway Medical Centre,GP,Persons,All ages,,,2019,26.1980391246684,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81058,Coulby Medical Practice,GP,Persons,All ages,,,2019,29.3066843760923,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81060,The Koh Practice,GP,Persons,All ages,,,2019,33.1285446180556,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
